"","Year","hdi","me_normalized","Name"
"192",1992,0.823,2148,43
"193",1992,0.534,1015,44
"194",1992,0.596,1940,45
"195",1992,0.527,2168,46
"196",1992,0.782,225,47
"197",1992,0.815,2235,48
"198",1992,0.788,835,49
"199",1992,0.826,540,50
"200",1992,0.625,910,51
"201",1992,0.74,471,52
"202",1992,0.809,1348,54
"203",1992,0.66,111,55
"204",1992,0.762,1398,57
"205",1992,0.56,287,58
"206",1992,0.227,165,60
"207",1992,0.363,1927,61
"208",1992,0.587,1103,62
"209",1992,0.402,226,63
"210",1992,0.832,576,64
"211",1992,0.413,276,66
"212",1992,0.688,1115,68
"213",1992,0.398,1179,69
"214",1992,0.608,1371,70
"215",1992,0.62,1505,71
"216",1992,0.719,1088,73
"217",1992,0.751,396,74
"218",1992,0.202,2100,75
"219",1992,0.634,433,76
"220",1992,0.71,86,77
"221",1992,0.706,1466,78
"222",1992,0.742,1680,79
"223",1992,0.735,2053,80
"224",1992,0.75,768,81
"225",1992,0.344,1732,83
"226",1992,0.845,409,85
"227",1992,0.56,1568,86
"228",1992,0.4,723,87
"229",1992,0.661,1875,88
"230",1992,0.313,2256,89
"231",1992,0.713,2357,90
"232",1992,0.738,834,91
"233",1992,0.66,411,94
"234",1992,0.504,734,95
"235",1993,0.467,1222,1
"236",1993,0.735,1424,4
"237",1993,0.817,707,5
"238",1993,0.418,1686,7
"239",1993,0.737,29,8
"240",1993,0.624,434,10
"241",1993,0.573,1904,12
"242",1993,0.576,712,14
"243",1993,0.781,159,15
"244",1993,0.299,563,17
"245",1993,0.855,1227,19
"246",1993,0.315,2065,20
"247",1993,0.624,921,22
"248",1993,0.687,695,24
"249",1993,0.674,1531,25
"250",1993,0.66,129,26
"251",1993,0.822,700,27
"252",1993,0.562,94,30
"253",1993,0.715,1312,32
"254",1993,0.534,2264,33
"255",1993,0.675,15,34
"256",1993,0.619,187,35
"257",1993,0.362,1632,36
"258",1993,0.499,8,37
"259",1993,0.296,186,38
"260",1993,0.572,1,40
"261",1993,0.418,1939,41
"262",1993,0.53,1381,42
"263",1993,0.724,1267,43
"264",1993,0.446,989,44
"265",1993,0.541,1956,45
"266",1993,0.607,2135,46
"267",1993,0.548,210,47
"268",1993,0.791,2259,48
"269",1993,0.821,866,49
"270",1993,0.67,425,50
"271",1993,0.688,916,51
"272",1993,0.744,167,53
"273",1993,0.708,1378,54
"274",1993,0.356,98,55
"275",1993,0.667,125,56
"276",1993,0.253,1464,57
"277",1993,0.66,284,58
"278",1993,0.546,1408,59
"279",1993,0.473,162,60
"280",1993,0.234,1902,61
"281",1993,0.369,1102,62
"282",1993,0.587,183,63
"283",1993,0.846,722,64
"284",1993,0.231,1262,65
"285",1993,0.417,546,67
"286",1993,0.696,1204,69
"287",1993,0.411,1429,70
"288",1993,0.615,1442,71
"289",1993,0.601,1040,73
"290",1993,0.753,398,74
"291",1993,0.712,2112,75
"292",1993,0.197,464,76
"293",1993,0.46,58,77
"294",1993,0.377,1500,78
"295",1993,0.282,1609,79
"296",1993,0.753,2063,80
"297",1993,0.648,814,81
"298",1993,0.76,682,82
"299",1993,0.641,1670,83
"300",1993,0.352,1257,84
"301",1993,0.846,277,85
"302",1993,0.849,1590,86
"303",1993,0.391,1903,88
"304",1993,0.32,2355,90
"305",1993,0.703,898,91
"306",1993,0.705,737,92
"307",1993,0.662,670,95
"308",1994,0.419,1237,1
"309",1994,0.59,1688,2
"310",1994,0.879,716,5
"311",1994,0.821,962,6
"312",1994,0.772,1708,7
"313",1994,0.426,34,8
"314",1994,0.852,497,10
"315",1994,0.386,570,11
"316",1994,0.581,690,13
"317",1994,0.642,195,15
"318",1994,0.705,429,16
"319",1994,0.296,1986,18
"320",1994,0.433,1273,19
"321",1994,0.859,2007,20
"322",1994,0.317,1399,21
"323",1994,0.631,381,23
"324",1994,0.349,738,24
"325",1994,0.407,1538,25
"326",1994,0.688,127,26
"327",1994,0.752,725,27
"328",1994,0.831,1335,28
"329",1994,0.571,102,30
"330",1994,0.571,533,31
"331",1994,0.72,2270,33
"332",1994,0.825,166,35
"333",1994,0.622,1664,36
"334",1994,0.301,1054,39
"335",1994,0.582,1961,41
"336",1994,0.415,1451,42
"337",1994,0.534,1332,43
"338",1994,0.829,1006,44
"339",1994,0.453,1958,45
"340",1994,0.55,2133,46
"341",1994,0.616,148,47
"342",1994,0.548,2272,48
"343",1994,0.798,884,49
"344",1994,0.802,456,50
"345",1994,0.486,476,52
"346",1994,0.356,123,56
"347",1994,0.64,1550,59
"348",1994,0.484,1907,61
"349",1994,0.241,1147,62
"350",1994,0.376,155,63
"351",1994,0.414,759,64
"352",1994,0.521,1286,65
"353",1994,0.883,377,66
"354",1994,0.421,1187,68
"355",1994,0.699,1453,70
"356",1994,0.417,1439,71
"357",1994,0.636,1129,73
"358",1994,0.739,184,74
"359",1994,0.688,2088,75
"360",1994,0.703,313,76
"361",1994,0.618,55,77
"362",1994,0.718,1548,78
"363",1994,0.284,2075,80
"364",1994,0.783,908,81
"365",1994,0.65,637,82
"366",1994,0.798,1703,83
"367",1994,0.65,1319,84
"368",1994,0.855,1669,86
"369",1994,0.607,736,87
"370",1994,0.603,2229,89
"371",1994,0.322,915,91
"372",1994,0.88,906,92
"373",1994,0.711,1468,93
"374",1995,0.408,1216,1
"375",1995,0.637,1694,2
"376",1995,0.627,743,5
"377",1995,0.888,1000,6
"378",1995,0.778,35,8
"379",1995,0.66,515,10
"380",1995,0.624,559,11
"381",1995,0.391,2090,12
"382",1995,0.589,753,14
"383",1995,0.576,197,15
"384",1995,0.79,470,16
"385",1995,0.71,446,17
"386",1995,0.391,1360,19
"387",1995,0.432,2067,20
"388",1995,0.862,1519,21
"389",1995,0.471,739,24
"390",1995,0.697,1583,25
"391",1995,0.409,124,26
"392",1995,0.788,923,27
"393",1995,0.761,1388,28
"394",1995,0.837,440,29
"395",1995,0.666,120,30
"396",1995,0.578,467,31
"397",1995,0.523,18,34
"398",1995,0.823,231,35
"399",1995,0.832,1738,36
"400",1995,0.776,14,37
"401",1995,0.511,995,39
"402",1995,0.306,1,40
"403",1995,0.588,1498,42
"404",1995,0.423,1502,43
"405",1995,0.746,1031,44
"406",1995,0.831,1963,45
"407",1995,0.461,2117,46
"408",1995,0.56,153,47
"409",1995,0.627,2291,48
"410",1995,0.539,741,49
"411",1995,0.832,534,50
"412",1995,0.468,1049,51
"413",1995,0.483,115,53
"414",1995,0.754,1491,54
"415",1995,0.821,131,55
"416",1995,0.682,1333,57
"417",1995,0.677,143,58
"418",1995,0.554,181,60
"419",1995,0.487,1195,62
"420",1995,0.248,152,63
"421",1995,0.582,1008,64
"422",1995,0.859,1285,65
"423",1995,0.881,613,67
"424",1995,0.426,1331,69
"425",1995,0.704,1527,71
"426",1995,0.625,1148,73
"427",1995,0.609,267,74
"428",1995,0.782,2071,75
"429",1995,0.694,368,76
"430",1995,0.231,53,77
"431",1995,0.469,1679,78
"432",1995,0.699,1617,79
"433",1995,0.752,1056,81
"434",1995,0.79,506,82
"435",1995,0.807,1137,84
"436",1995,0.366,387,85
"437",1995,0.367,789,87
"438",1995,0.614,1884,88
"439",1995,0.605,2226,89
"440",1995,0.611,2352,90
"441",1995,0.883,1070,93
"442",1995,0.712,260,94
"443",1996,0.537,1269,1
"444",1996,0.335,1635,2
"445",1996,0.602,1936,3
"446",1996,0.748,762,5
"447",1996,0.634,1007,6
"448",1996,0.605,1745,7
"449",1996,0.751,530,10
"450",1996,0.864,512,11
"451",1996,0.624,2083,12
"452",1996,0.394,776,13
"453",1996,0.658,445,16
"454",1996,0.793,455,17
"455",1996,0.718,1948,18
"456",1996,0.396,2092,20
"457",1996,0.431,1752,21
"458",1996,0.735,419,23
"459",1996,0.351,1577,25
"460",1996,0.701,97,26
"461",1996,0.669,899,27
"462",1996,0.791,1426,28
"463",1996,0.776,439,29
"464",1996,0.636,108,30
"465",1996,0.668,478,31
"466",1996,0.588,1401,32
"467",1996,0.74,24,34
"468",1996,0.688,208,35
"469",1996,0.83,1787,36
"470",1996,0.518,1,40
"471",1996,0.31,2000,41
"472",1996,0.598,1659,43
"473",1996,0.545,1050,44
"474",1996,0.75,1990,45
"475",1996,0.836,2156,46
"476",1996,0.468,194,47
"477",1996,0.573,2268,48
"478",1996,0.634,896,49
"479",1996,0.811,571,50
"480",1996,0.666,1043,51
