"","Year","hdi","me_normalized","Name"
"155",1991,0.612,21.67813753,86
"156",1991,0.659,19.37784863,87
"157",1991,0.67,22.4585725,88
"158",1991,0.721,24.46270255,89
"159",1991,0.735,26.35805544,90
"160",1991,0.794,19.40883814,91
"161",1991,0.654,20.75109296,93
"162",1991,0.493,18.27272938,94
"163",1991,0.401,19.74523267,95
"164",1992,0.316,20.77519549,1
"165",1992,0.73,22.65218845,3
"166",1992,0.618,21.48403677,4
"167",1992,0.733,22.14185751,7
"168",1992,0.375,18.76739966,10
"169",1992,0.566,18.99721571,11
"170",1992,0.577,19.3437198,13
"171",1992,0.627,19.35979272,14
"172",1992,0.705,17.47872539,15
"173",1992,0.299,17.94737143,16
"174",1992,0.377,23.10177469,18
"175",1992,0.315,20.87929338,19
"176",1992,0.722,20.82071666,21
"177",1992,0.499,18.87046467,23
"178",1992,0.405,20.26143211,24
"179",1992,0.667,21.76627569,25
"180",1992,0.742,17.33080238,26
"181",1992,0.612,18.71479511,29
"182",1992,0.539,21.45368739,32
"183",1992,0.801,15.06875567,34
"184",1992,0.358,17.54514791,35
"185",1992,0.291,14.3714659,37
"186",1992,0.559,20.51503302,39
"187",1992,0.523,22.81305756,41
"188",1992,0.711,21.35859107,42
"189",1992,0.823,23.7055358,43
"190",1992,0.534,20.32879266,44
"191",1992,0.596,22.83493902,45
"192",1992,0.527,23.82232563,46
"193",1992,0.782,17.66974189,47
"194",1992,0.815,24.30676043,48
"195",1992,0.788,19.72290164,49
"196",1992,0.826,18.86560117,50
"197",1992,0.625,19.90859789,51
"198",1992,0.74,18.62946129,52
"199",1992,0.809,21.29227785,54
"200",1992,0.66,17.09990033,55
"201",1992,0.762,21.41644533,57
"202",1992,0.56,17.90325694,58
"203",1992,0.227,17.44271506,60
"204",1992,0.363,22.79070581,61
"205",1992,0.587,20.58446219,62
"206",1992,0.402,17.66990445,63
"207",1992,0.832,18.97259656,64
"208",1992,0.413,17.88572766,66
"209",1992,0.688,20.6230231,68
"210",1992,0.398,20.79915566,69
"211",1992,0.608,21.35556638,70
"212",1992,0.62,21.65253179,71
"213",1992,0.719,20.53888666,73
"214",1992,0.751,18.29930568,74
"215",1992,0.202,23.45504993,75
"216",1992,0.634,18.51392395,76
"217",1992,0.71,16.83592983,77
"218",1992,0.706,21.5700558,78
"219",1992,0.742,22.02547357,79
"220",1992,0.735,23.17553438,80
"221",1992,0.75,19.60475327,81
"222",1992,0.344,22.14348901,83
"223",1992,0.845,18.38926269,85
"224",1992,0.56,21.80905284,86
"225",1992,0.4,19.48427746,87
"226",1992,0.661,22.54100932,88
"227",1992,0.313,24.43133349,89
"228",1992,0.713,26.44357761,90
"229",1992,0.738,19.72077757,91
"230",1992,0.66,18.397988,94
"231",1992,0.504,19.50705175,95
"232",1993,0.467,20.96770978,1
"233",1993,0.735,21.47237515,4
"234",1993,0.817,19.44763704,5
"235",1993,0.418,22.04396588,7
"236",1993,0.737,15.62876648,8
"237",1993,0.624,18.5150552,10
"238",1993,0.573,22.68334642,12
"239",1993,0.576,19.45980571,14
"240",1993,0.781,17.4064299,15
"241",1993,0.299,18.94051697,17
"242",1993,0.855,20.97872453,19
"243",1993,0.315,23.25514878,20
"244",1993,0.624,19.96648385,22
"245",1993,0.687,19.4075316,24
"246",1993,0.674,21.70983281,25
"247",1993,0.66,17.25160994,26
"248",1993,0.822,19.43591142,27
"249",1993,0.562,16.98201241,30
"250",1993,0.715,21.2028638,32
"251",1993,0.534,24.4749058,33
"252",1993,0.675,14.75410614,34
"253",1993,0.619,17.52918819,35
"254",1993,0.362,21.93651944,36
"255",1993,0.499,14.31606722,37
"256",1993,0.296,17.51910297,38
"257",1993,0.418,22.83390835,41
"258",1993,0.53,21.3824966,42
"259",1993,0.724,21.09357185,43
"260",1993,0.446,20.20863927,44
"261",1993,0.541,22.89328726,45
"262",1993,0.607,23.62699323,46
"263",1993,0.548,17.61195613,47
"264",1993,0.791,24.44543345,48
"265",1993,0.821,19.78456969,49
"266",1993,0.67,18.47615828,50
"267",1993,0.688,19.93135694,51
"268",1993,0.744,17.4486339,53
"269",1993,0.708,21.37735934,54
"270",1993,0.356,17.01978857,55
"271",1993,0.667,17.2218874,56
"272",1993,0.253,21.56797706,57
"273",1993,0.66,17.89924035,58
"274",1993,0.546,21.44684989,59
"275",1993,0.473,17.42755857,60
"276",1993,0.234,22.67698385,61
"277",1993,0.369,20.58030507,62
"278",1993,0.587,17.50964094,63
"279",1993,0.846,19.48273659,64
"280",1993,0.231,21.08785477,65
"281",1993,0.417,18.87766562,67
"282",1993,0.696,20.88284533,69
"283",1993,0.411,21.47627425,70
"284",1993,0.615,21.50817516,71
"285",1993,0.601,20.39816087,73
"286",1993,0.753,18.30903537,74
"287",1993,0.712,23.52366426,75
"288",1993,0.197,18.60248539,76
"289",1993,0.46,16.37659422,77
"290",1993,0.377,21.63210838,78
"291",1993,0.282,21.90324715,79
"292",1993,0.753,23.23914008,80
"293",1993,0.648,19.68702301,81
"294",1993,0.76,19.36839686,82
"295",1993,0.641,22.00730946,83
"296",1993,0.352,21.07820594,84
"297",1993,0.846,17.88838804,85
"298",1993,0.849,21.87266625,86
"299",1993,0.391,22.67984557,88
"300",1993,0.32,26.42035932,90
"301",1993,0.703,19.85318967,91
"302",1993,0.705,19.51165185,92
"303",1993,0.662,19.33617116,95
"304",1994,0.419,21.01213095,1
"305",1994,0.59,22.0462808,2
"306",1994,0.879,19.46650553,5
"307",1994,0.821,20.12072236,6
"308",1994,0.772,22.09548709,7
"309",1994,0.426,15.8822942,8
"310",1994,0.852,18.71778261,10
"311",1994,0.386,18.95385729,11
"312",1994,0.581,19.38338197,13
"313",1994,0.642,17.55102894,15
"314",1994,0.705,18.49075348,16
"315",1994,0.296,22.98266966,18
"316",1994,0.433,21.10583675,19
"317",1994,0.859,23.03089683,20
"318",1994,0.317,21.41897119,21
"319",1994,0.631,18.24717996,23
